0.452,0.047,0.8,0,0,0.122,0
0.288,0.137,0.533,0,0,0.398,0
0.493,0.15,0.4,0,0,0.398,0
0.151,0.221,0.8,0,0,0.398,0
0.274,0.184,0.867,0,0,0.398,0
0.438,0.1,0.267,0,0,0.153,0
0.479,0.133,0.533,0,0,0.449,1
0.192,0.022,0.867,0.141,0,0.5,1
0.342,0.099,0.8,0.052,0,0.398,1
0.274,0.181,0.6,0,0,0.806,1
0.178,0.087,0.8,0,0,0.398,1
0.082,0.074,0.8,0,0,0.296,0
0.205,0.13,0.733,0,0,0.5,0
0.233,0.158,0.2,0,0,0.449,0
0.11,0.111,0.533,0,0,0.347,0
0.205,0.118,0.533,0,0,0.398,0
0.288,0.01,0.4,0,0,0.5,0
0.356,0.189,0.867,0,0,0.449,1
0.315,0.122,1,0,0,0.602,1
0.507,0.196,0.533,0,0,0.194,0
0.247,0.043,0.267,0,0,0.398,0
0.356,0.07,0.4,0,0.469,0.398,0
0.575,0.065,0.533,0,0,0.398,0
0.534,0.138,0.8,0,0,0.398,1
0.027,0.105,0.533,0,0,0.398,0
0.301,0.24,0.533,0,0,0.806,0
0.438,0.122,0.533,0,0,0.398,0
0.082,0.12,0.733,0,0,0.52,0
0.041,0.171,0.6,0,0,0.439,0
0.384,0.254,0.8,0,0.323,0.398,0
0.178,0.031,0.6,0,0,0.398,0
0.068,0.202,0.6,0,0,0.143,0
0.425,0.155,0.4,0,0,0.398,0
0.055,0.125,0.6,0,0,0.398,0
0.027,0.361,0.533,0,0,0.245,0
0.425,0.171,0.733,0,0,0.398,0
0.192,0.336,0.267,0,0,0.429,0
0.493,0.051,0.8,0,0,0.398,0
0.096,0.108,0.8,0,0,0.5,0
0.438,0.055,0.533,0,0,0.398,0
0.11,0.188,0.533,0,0,0.347,0
0.548,0.22,0.8,0,0,0.398,1
0.493,0.089,0.533,0,0,0.378,0
0.37,0.078,0.867,0,0,0.398,0
0.329,0.06,0.667,0,0,0.398,0
0.164,0.175,0.667,0,0,0.429,0
0.11,0.013,0.6,0,0,0.398,0
0.411,0.026,0.933,0,0.437,0.602,1
0.452,0.162,0.8,0,0,0.551,1
0.411,0.065,0.533,0,0,0.602,0
0.356,0.152,0.6,0,0,0.398,1
0.397,0.138,0.133,0,0,0.398,0
